SAMPLE	Undecane	Dodecane	Naphthalene	Fluorene	Total_Fe	Total_Cd	Total_Pb	Total_Hg	Organic_Matter	Deep	Class
Costa_S1	31.6	41.61	3.1309	4.0521	13718.0147	0.1653	42.9073	0.1357	4.008	201	Costa
Costa_S2	34.2	45.91	3.1988	3.9267	19298.4327	0.1471	48.1602	0.1698	4.321	276	Costa
Costa_S3	34.28	43.79	3.1874	3.7846	18888.5682	0.121	48.8763	0.1819	4.543	367	Costa
Costa_S4	36.1	55.63	3.6017	3.8907	11769.0592	0.1535	40.5959	0.2244	4.539	297	Costa
Costa_S5	32.77	41.48	3.0484	4.1462	15487.5298	0.1319	39.0055	0.2187	4.367	298	Costa
Someras_S1	33.27	41.32	5.3006	3.5028	31010.2489	0.0044	24.5293	0.1408	2.416	1082	Someras
Someras_S2	31.85	41.76	5.4224	4.0546	34405.0426	0.0451	29.4621	0.2543	2.188	1065	Someras
Someras_S3	34.42	41.82	5.5052	4.2669	31643.2831	0.0122	22.5941	0.1234	2.589	1034	Someras
Someras_S4	31.95	41.69	5.1457	3.4047	38526.4164	0.0998	15.3081	0.0685	3.221	1067	Someras
Someras_S5	33.29	49.17	5.3895	4.0743	35814.2972	0.0487	23.013	0.082	3.514	1042	Someras
Profundas_S1	33.41	50.99	2.2267	4.2499	43682.8757	0.0083	12.8928	0.0696	1.624	3456	Profundas
Profundas_S2	43.16	53.77	2.7196	5.0045	42645.3254	0.0555	14.7247	0.0795	1.623	4356	Profundas
Profundas_S3	51.1	59.65	2.9115	5.5922	42242.0256	0.0179	17.8071	0.1109	1.083	3262	Profundas
Profundas_S4	31.73	35.14	2.4287	4.5039	40851.1512	0.0668	17.245	0.2064	1.917	3021	Profundas
Profundas_S5	34.1	55.59	2.6195	4.5782	49901.6057	0.0729	15.6005	0.2266	0.987	3490	Profundas
