V.GENE	CDR1.length	CDR2.length	CDR3.length	VJ.identity	V.Nb.mutations
IGHV1-69	27	21	87	81.02	50
IGHV1-69	27	21	87	81.02	51
IGHV1-69	27	21	87	81.33	49
IGHV1-69	24	21	87	81.63	48
IGHV1-69	27	21	87	82.86	45
IGHV1-69	27	21	87	82.86	46
IGHV1-69	24	30	87	82.86	47
IGHV1-69	24	24	87	82.86	48
IGHV1-69	24	24	87	83.12	49
IGHV1-69	24	21	87	83.14	46
IGHV1-69	27	21	87	83.43	44
IGHV1-69	27	21	87	83.43	45
IGHV1-69	24	24	87	83.71	42
IGHV1-69	24	24	87	83.71	43
IGHV1-69	27	21	87	83.71	44
IGHV1-69	24	21	87	83.71	45
IGHV1-69	24	24	87	83.87	45
IGHV1-69	24	21	87	84	41
IGHV1-69	24	21	87	84	43
IGHV1-69	24	21	87	84	44
IGHV1-69	27	21	87	84	45
IGHV1-69	27	21	87	84.24	43
IGHV1-69	24	24	87	84.29	41
IGHV1-69	27	21	87	84.29	42
IGHV1-69	27	21	87	84.29	43
IGHV1-69	24	24	87	84.33	42
IGHV1-69	27	21	87	84.57	41
IGHV1-69	24	24	87	84.57	42
IGHV1-69	24	21	87	84.81	40
IGHV1-69	24	24	87	84.86	39
IGHV1-69	30	21	87	84.86	40
IGHV1-69	30	21	87	84.86	41
IGHV1-69	27	21	87	85.14	39
IGHV1-69	27	21	87	85.19	39
IGHV1-69	24	21	87	85.34	42
IGHV1-69	24	24	87	85.34	43
IGHV1-69	24	21	87	85.43	38
IGHV1-69	24	24	87	85.43	39
IGHV1-69	30	21	87	85.5	45
IGHV1-69	24	24	87	85.8	41
IGHV1-69	24	21	87	86.09	43
IGHV1-69	24	24	87	86.65	40
IGHV1-69	27	21	87	86.98	40
IGHV1-69	30	21	87	89.14	3
IGHV1-69	24	21	80	80.54	27
IGHV1-69	27	21	83	81.71	17
IGHV1-69	24	24	83	82	16
IGHV1-69	24	21	83	82.57	14
IGHV1-69	24	24	83	83.43	10
IGHV1-69	27	21	83	83.71	10
IGHV2-5	30	27	27	91.67	22
IGHV2-5	30	27	27	92.9	16
IGHV2-5	30	27	27	93.75	18
IGHV2-5	30	27	27	93.79	15
IGHV2-5	30	27	27	94.08	12
IGHV2-5	30	27	27	94.08	13
IGHV2-5	30	27	27	94.08	14
IGHV2-5	30	27	27	94.38	13
IGHV2-5	30	27	27	94.66	12
IGHV2-5	30	27	27	94.67	12
IGHV2-5	30	27	27	94.97	11
IGHV2-5	30	27	27	95.24	10
IGHV2-5	30	27	27	95.25	10
IGHV2-5	30	27	27	95.27	10
IGHV2-5	30	27	30	97.91	35
IGHV2-5	30	27	30	99.09	31
IGHV2-5	30	27	30	90.86	26
IGHV2-5	30	27	30	91.15	25
IGHV2-5	30	27	33	92.63	20
IGHV2-5	30	27	33	93.22	18
IGHV2-5	30	27	33	93.81	16
IGHV2-5	30	27	33	94.99	12
IGHV2-5	30	27	33	97.98	6
IGHV2-5	30	27	36	97.13	34
IGHV2-5	30	27	36	97.17	34
IGHV2-5	30	27	36	98.79	32
IGHV2-5	30	27	36	94.4	14
IGHV2-5	30	27	36	94.4	15
IGHV2-5	30	27	36	94.69	14
IGHV2-5	30	27	36	94.99	13
IGHV2-5	30	27	36	95.28	10
IGHV2-5	30	27	36	95.28	11
IGHV2-5	30	27	36	95.28	12
IGHV2-5	30	27	36	95.28	13
IGHV2-5	30	27	36	95.58	11
IGHV2-5	30	27	36	95.58	12
IGHV2-5	30	27	36	95.86	10
IGHV2-5	30	27	36	95.87	10
IGHV2-5	30	27	36	95.87	11
IGHV2-5	30	27	36	95.87	9
IGHV2-5	30	27	36	96.15	9
IGHV2-5	30	27	36	96.17	10
IGHV2-5	30	27	36	96.17	8
IGHV2-5	30	27	36	96.17	9
IGHV2-5	30	27	36	96.46	8
IGHV2-5	30	27	36	96.46	9
IGHV2-5	30	27	36	96.76	7
IGHV2-5	30	27	36	97.05	6
IGHV2-5	30	27	36	97.35	4
IGHV2-5	30	27	36	97.94	2
IGHV3-73	30	27	54	78.53	0
IGHV3-73	30	27	54	78.54	0
IGHV3-73	30	27	57	77.43	30
IGHV3-73	30	27	57	78.01	28
IGHV3-73	30	27	57	78.7	24
IGHV3-73	30	27	57	79.15	24
IGHV3-73	30	27	57	79.18	24
IGHV3-73	30	27	60	78.6	32
IGHV3-73	30	27	63	77.83	34
IGHV3-73	30	27	63	73.57	16
IGHV3-73	30	27	63	73.84	16
IGHV3-73	30	27	63	73.86	16
IGHV3-73	30	27	63	74.44	14
IGHV3-73	30	27	63	77.37	6
IGHV3-73	30	27	63	77.95	3
IGHV3-73	30	27	63	78.54	2
IGHV3-73	30	27	64	72.75	56
IGHV3-73	30	27	64	73.92	52
IGHV3-73	30	27	64	77.39	40
IGHV3-73	30	27	64	77.43	40
IGHV3-73	30	27	66	78.6	37
IGHV3-73	30	27	66	78.7	27
IGHV3-73	30	27	66	79.18	34
IGHV3-73	30	27	66	79.18	35
IGHV3-73	30	27	66	79.47	32
IGHV3-73	30	27	66	79.77	32
IGHV3-73	30	27	66	73.86	30
IGHV3-73	30	27	66	73.06	30
IGHV3-73	30	27	66	77.06	31
IGHV3-73	30	27	66	77.14	28
IGHV3-73	30	27	66	77.14	29
IGHV3-73	30	27	66	77.32	30
IGHV3-73	30	27	66	77.35	29
IGHV3-73	30	27	66	77.35	30
IGHV3-73	30	27	66	74.35	31
IGHV3-73	30	27	66	74.43	28
IGHV3-73	30	27	66	74.64	27
IGHV3-73	30	27	66	74.64	28
IGHV3-73	30	27	66	74.64	29
IGHV3-73	30	27	67	74.64	30
IGHV3-73	30	27	67	74.72	26
IGHV3-73	30	27	67	74.72	27
IGHV3-73	30	27	67	74.72	28
IGHV3-73	30	27	67	74.91	28
IGHV3-73	30	27	68	76.94	27
IGHV3-73	30	27	69	75.94	28
IGHV3-73	30	27	69	77.94	29
IGHV3-73	30	27	69	76.94	30
IGHV3-73	30	27	69	75.99	26
IGHV3-73	30	27	69	76.2	27
